,state_code,average_hesitant,average_strongly_hesitant,avg_svi,avg_vac_rollout,vac_percentage,vac_percentage_race_a,vac_percentage_race_b,vac_percentage_race_c,vac_percentage_race_d,vac_percentage_race_e,vac_percentage_race_f,total_cases,total_death
29,NE,0.17795698924731168,0.09118279569892462,0.20161290322580644,0.23677419354838716,0.16145652173913047,0.06957419354838708,0.012470967741935486,0.005648387096774192,0.009323655913978495,0.0003311827956989248,0.8890817204301076,42585433.0,431470.0
30,NH,0.144,0.06900000000000002,0.167,0.097,0.19180000000000003,0.02632,0.0018700000000000001,0.019340000000000003,0.01132,0.00031999999999999997,0.9226600000000001,14092975.0,271217.0
31,NJ,0.12,0.05047619047619049,0.4195238095238095,0.1576190476190476,0.2146190476190476,0.17480476190476193,0.001238095238095238,0.07165714285714284,0.11352380952380954,0.0002285714285714286,0.6169,180003456.0,7343919.0
32,NM,0.15272727272727277,0.08636363636363635,0.7890625000000001,0.6060606060606061,,0.48165151515151516,0.0704939393939394,0.008233333333333336,0.012354545454545453,0.0005575757575757576,0.4113727272727272,36319753.0,747895.0
33,NV,0.20176470588235293,0.0958823529411765,0.558235294117647,0.7905882352941177,0.19299999999999998,0.17836470588235298,0.03635882352941176,0.019005882352941178,0.02630588235294118,0.0016470588235294116,0.713270588235294,60813018.0,1022416.0
34,NY,0.1461290322580646,0.060645161290322575,0.4680645161290322,0.2348387096774194,0.20120967741935483,0.07896612903225808,0.004001612903225807,0.028579032258064525,0.05783548387096772,0.00030967741935483873,0.8090564516129034,372808805.0,15439915.0
35,OH,0.22363636363636372,0.1214772727272727,0.3978409090909091,0.2240909090909091,0.20363636363636362,0.027738636363636358,0.0015215909090909086,0.009982954545454547,0.04147613636363637,0.00026363636363636357,0.8989068181818184,185693077.0,3797638.0
36,OK,0.22000000000000017,0.11181818181818182,0.6475324675324676,0.695714285714286,0.21377922077922076,0.09317532467532469,0.09097142857142856,0.007818181818181814,0.03391948051948052,0.0012000000000000001,0.7018779220779225,80847812.0,946734.0
37,OR,0.1661111111111111,0.07111111111111112,0.6052777777777778,0.5294444444444444,0.20727777777777778,0.12104444444444444,0.01652777777777778,0.016763888888888887,0.007297222222222222,0.0032583333333333336,0.8029666666666667,31604447.0,450333.0
38,PA,0.1661194029850746,0.08388059701492538,0.3729850746268657,0.20208955223880604,0.19597014925373132,0.044643283582089556,0.0010835820895522387,0.014931343283582088,0.044452238805970164,0.00018507462686567162,0.8786925373134331,188455600.0,5412419.0
39,RI,0.12,0.032,0.25999999999999995,0.019999999999999997,0.2606,0.07942,0.0033599999999999997,0.025419999999999998,0.03184,0.0005,0.8344600000000002,26094455.0,638377.0
40,SC,0.18956521739130444,0.09282608695652175,0.7582608695652173,0.6626086956521741,0.17267391304347823,0.04670434782608695,0.003519565217391305,0.008215217391304349,0.3531630434782608,0.00044347826086956523,0.5690304347826086,102903495.0,1827510.0
41,SD,0.23151515151515145,0.09196969696969703,0.3204545454545455,0.28060606060606047,0.19348484848484848,0.027489393939393935,0.14328787878787883,0.0070484848484848464,0.006909090909090909,0.00042121212121212114,0.7965939393939396,23820538.0,356288.0
42,TN,0.2538947368421052,0.1494736842105265,0.5849473684210528,0.7517894736842101,0.16252631578947363,0.0359263157894737,0.0029305263157894733,0.007055789473684211,0.07310315789473688,0.00047263157894736866,0.8611084210526319,157592672.0,2136135.0
43,TX,0.18003937007874027,0.08350393700787385,0.6769291338582676,0.8803937007874015,,0.35175196850393686,0.003492125984251968,0.010541338582677163,0.0610657480314961,0.0006653543307086614,0.5575350393700788,540239389.0,9342025.0
44,UT,0.15620689655172415,0.06206896551724142,0.3217241379310345,0.5072413793103449,0.16506896551724135,0.09209310344827584,0.028472413793103453,0.008141379310344829,0.00456551724137931,0.003299999999999999,0.8483655172413794,73470226.0,391532.0
45,VA,0.15924812030075192,0.06601503759398496,0.429172932330827,0.3079699248120301,0.09216806722689072,0.05486165413533834,0.002447368421052632,0.02108195488721805,0.18266917293233084,0.0004631578947368422,0.7121624060150377,115997619.0,1943883.0
46,VT,0.0735714285714286,0.03357142857142858,0.1992857142857143,0.19714285714285715,0.1578571428571429,0.01807142857142857,0.003471428571428572,0.00992142857142857,0.009364285714285714,0.0004357142857142857,0.9388928571428572,3017744.0,46857.0
47,WA,0.12871794871794873,0.0630769230769231,0.5187179487179489,0.46051282051282055,0.22669230769230772,0.14452307692307692,0.018866666666666664,0.02748974358974359,0.01341538461538461,0.0032128205128205125,0.7554051282051283,72434399.0,1199543.0
48,WI,0.1694444444444444,0.09930555555555548,0.24097222222222228,0.17152777777777778,0.23900000000000007,0.03853472222222222,0.026495833333333333,0.012845833333333329,0.016590277777777777,0.0004416666666666667,0.8883152777777776,127346787.0,1432703.0
49,WV,0.20509090909090916,0.1049090909090909,0.5199999999999998,0.3932727272727274,0.1213090909090909,0.012361818181818179,0.0019272727272727276,0.004587272727272725,0.02441090909090909,0.00024545454545454545,0.9422581818181817,24137014.0,427222.0
50,WY,0.3095652173913044,0.1660869565217391,0.25347826086956526,0.5573913043478261,0.22530434782608696,0.08302173913043479,0.01874782608695652,0.006421739130434783,0.005334782608695652,0.0009086956521739131,0.8664652173913043,10498350.0,115518.0
